,edital_x,Nº do Imóvel no Edital,Destinação,Área,Área Construção Básica,Área Construção Máxima,Valor de Face,valor_caucao_x,cond_pgto,id_terracap,Endereço,classficacao,relevo,situacao,tipo_de_solo,forma,posicao,frente,fundo,lado_direito,lado_esquerdo,url_details,item,endereco,n_imoveis,valor_compra,uso,coord_name,R$ Valor / Pot. Max,Unnamed: 0,edital_y,Bairro,area_y,valor_caucao_y,geometry,outros_editais_1,outros_editais_2,outros_editais_3,outros_editais_4,outros_editais_5,outros_editais_6,outros_editais_7,outros_editais_8,outros_editais_9,end_comp,Número Lances,Valor Lance Vencedor,Valor Lance Segundo Colocado,Valor Lance Terceiro Colocado,Número Meses,Entrada,Destinação Resumida
0,5/2023,1,"USO OBRIGATÓRIO: COMÉRCIO DE BENS E PRESTAÇÃO DE SERVIÇOS, COLETIVO, USO COMPLEMENTAR: RESIDENCIAL - HABITAÇÃO COLETIVA, NOS PAVIMENTOS ACIMA DO TÉRREO - CONSULTAR NGB P/ ATIVIDADES PERMITIDAS.",728.0,2766.0,2766.0,46140,276840,"
            100% de entrada e restante em até 180 meses.
          ",807027-0, CRNW 503  BL A LT 04,LOTE,PLANO,CONSTRUIDO,FIRME,,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=1,"1 
                  Edital : 5/2023
                ", CRNW 503  BL A LT 03,2,46140,"
                    Destinação: 
                    USO OBRIGATÓRIO: COMÉRCIO DE BENS E PRESTAÇÃO DE SERVIÇOS, COLETIVO, USO COMPLEMENTAR: RESIDENCIAL - HABITAÇÃO COLETIVA, NOS PAVIMENTOS ACIMA DO TÉRREO - CONSULTAR NGB P/ ATIVIDADES PERMITIDAS.
                  ",polygon_807026,16.68112798264642,-,-,-,-,-,"[[-15.765316473, -47.912807254], [-15.765152514, -47.912820283], [-15.765180244, -47.913192398], [-15.765344204, -47.913179369], [-15.765316473, -47.912807254], [-15.765152514, -47.912820283], [-15.764988553, -47.912833312], [-15.765016284, -47.913205427], [-15.765180244, -47.913192398], [-15.765152514, -47.912820283]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5/2023,3,"UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.",700.0,1400.0,1400.0,210000,10500,"
            5% de entrada e restante em até 180 meses.
          ",66803-6,IND I QD 14   LT 62,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=3,"3 
                  Edital : 5/2023
                ",IND I QD 14   LT 62,1,210000,"
                    Destinação: 
                    UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.
                  ",polygon_66803,150.0,-,-,-,-,-,"[[-15.803252981, -48.156955254], [-15.803227208, -48.156865811], [-15.802621014, -48.157052148], [-15.802646787, -48.157141593], [-15.803252981, -48.156955254]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,5/2023,5,"UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.",700.0,1400.0,1400.0,210000,10500,"
            5% de entrada e restante em até 180 meses.
          ",66807-9,IND I QD 14   LT 66,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=5,"5 
                  Edital : 5/2023
                ",IND I QD 14   LT 66,1,210000,"
                    Destinação: 
                    UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.
                  ",polygon_66807,150.0,-,-,-,-,-,"[[-15.803304529, -48.157134139], [-15.803278754, -48.157044696], [-15.80267256, -48.157231034], [-15.802698335, -48.157320478], [-15.803304529, -48.157134139]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,5/2023,7,"UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",60.0,120.0,120.0,35500,1775,"
            5% de entrada e restante em até 180 meses.
          ",65650-0,IND I QD CENTRAL DE SERVICO  BL G LT 01 CL,LOTE,PLANO,VAGO,FIRME,REGULAR,ESQUINA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=7,"7 
                  Edital : 5/2023
                ",IND I QD CENTRAL DE SERVICO  BL G LT 01 CL,1,35500,"
                    Destinação: 
                    UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_65650,295.8333333333333,-,-,-,-,-,"[[-15.802017829, -48.150869849], [-15.802002365, -48.150816183], [-15.801915765, -48.150842805], [-15.801931231, -48.150896471], [-15.802017829, -48.150869849]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,5/2023,9,"UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",60.0,120.0,120.0,35500,1775,"
            5% de entrada e restante em até 180 meses.
          ",65652-6,IND I QD CENTRAL DE SERVICO  BL G LT 03 CL,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=9,"9 
                  Edital : 5/2023
                ",IND I QD CENTRAL DE SERVICO  BL G LT 03 CL,1,35500,"
                    Destinação: 
                    UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_65652,295.8333333333333,-,-,-,-,-,"[[-15.801946697, -48.150950137], [-15.801962161, -48.151003801], [-15.80204876, -48.150977179], [-15.802033295, -48.150923513], [-15.801946697, -48.150950137]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,5/2023,11,"UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",60.0,120.0,120.0,35500,1775,"
            5% de entrada e restante em até 180 meses.
          ",65654-2,IND I QD CENTRAL DE SERVICO  BL G LT 05 CL,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=11,"11 
                  Edital : 5/2023
                ",IND I QD CENTRAL DE SERVICO  BL G LT 05 CL,1,35500,"
                    Destinação: 
                    UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_65654,295.8333333333333,-,-,-,-,-,"[[-15.801977627, -48.151057467], [-15.801993093, -48.151111132], [-15.802079692, -48.151084509], [-15.802064226, -48.151030843], [-15.801977627, -48.151057467]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,5/2023,13,"UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",60.0,120.0,120.0,35500,1775,"
            5% de entrada e restante em até 180 meses.
          ",65656-9,IND I QD CENTRAL DE SERVICO  BL G LT 07 CL,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=13,"13 
                  Edital : 5/2023
                ",IND I QD CENTRAL DE SERVICO  BL G LT 07 CL,1,35500,"
                    Destinação: 
                    UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_65656,295.8333333333333,-,-,-,-,-,"[[-15.802008558, -48.151164797], [-15.802024024, -48.151218464], [-15.802110623, -48.151191842], [-15.802095158, -48.151138175], [-15.802008558, -48.151164797]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,5/2023,15,"UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",60.0,120.0,120.0,35500,1775,"
            5% de entrada e restante em até 180 meses.
          ",65658-5,IND I QD CENTRAL DE SERVICO  BL G LT 09 CL,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=15,"15 
                  Edital : 5/2023
                ",IND I QD CENTRAL DE SERVICO  BL G LT 09 CL,1,35500,"
                    Destinação: 
                    UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_65658,295.8333333333333,-,-,-,-,-,"[[-15.80203949, -48.151272128], [-15.802054955, -48.151325794], [-15.802141555, -48.151299172], [-15.802126089, -48.151245505], [-15.80203949, -48.151272128]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,5/2023,17,"UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",60.0,120.0,120.0,35500,1775,"
            5% de entrada e restante em até 180 meses.
          ",65660-7,IND I QD CENTRAL DE SERVICO  BL G LT 11 CL,LOTE,PLANO,VAGO,FIRME,REGULAR,ESQUINA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=17,"17 
                  Edital : 5/2023
                ",IND I QD CENTRAL DE SERVICO  BL G LT 11 CL,1,35500,"
                    Destinação: 
                    UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_65660,295.8333333333333,-,-,-,-,-,"[[-15.802157021, -48.151352837], [-15.802070421, -48.151379458], [-15.802085887, -48.151433124], [-15.802172486, -48.151406503], [-15.802157021, -48.151352837]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,5/2023,19,"UOS CSIIND 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.",1072.0,1715.0,1715.0,421000,21050,"
            5% de entrada e restante em até 180 meses.
          ",507582-3,SMA   CONJ Y  LT 02,LOTE,PLANO,VAGO,FIRME,IRREGULAR,ESQUINA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=19,"19 
                  Edital : 5/2023
                ",SMA   CONJ Y  LT 02,1,421000,"
                    Destinação: 
                    UOS CSIIND 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.
                  ",polygon_507582,245.48104956268222,-,-,-,-,-,"[[-15.99376046, -48.065551088], [-15.993555931, -48.065578653], [-15.993577239, -48.066051345], [-15.993803331, -48.065891085], [-15.99376046, -48.065551088]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
